Accuracy, N_CNN_Layer, N_Filter, Kernel_Size, Initializer, Dropout, Optimizer
0.237, 3 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, Adam Optimizer
0.180, 3 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.252, 3 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.175, 3 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, Adam Optimizer
0.169, 3 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.107, 3 Layer, 32 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
0.309, 3 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.141, 3 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.242, 3 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.236, 3 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, Adam Optimizer
0.184, 3 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.108, 3 Layer, 64 Filtre, 3x3 Kernel, GlorotNormal, 0.7 Dropout, RMSProp Optimizer
0.217, 3 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, ADAM Optimizer
0.143, 3 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.188, 3 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.233, 3 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, ADAM Optimizer
0.159, 3 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.203, 3 Layer, 64 Filtre, 3x3 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
0.265, 3 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, Adam Optimizer
0.158, 3 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, SGD Optimizer
0.255, 3 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.2 Dropout, RMSProp Optimizer
0.145, 3 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, Adam Optimizer
0.187, 3 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, SGD Optimizer
0.178, 3 Layer, 64 Filtre, 5x5 Kernel, GlorotNormal, 0.7 Dropout, RMSProp Optimizer
0.165, 3 Layer, 64 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, Adam Optimizer
0.251, 3 Layer, 64 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, SGD Optimizer
0.242, 3 Layer, 64 Filtre, 5x5 Kernel, RandomNormal, 0.2 Dropout, RMSProp Optimizer
0.173, 3 Layer, 64 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, Adam Optimizer
0.207, 3 Layer, 64 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, SGD Optimizer
0.124, 3 Layer, 64 Filtre, 5x5 Kernel, RandomNormal, 0.7 Dropout, RMSProp Optimizer
